,ADI_Full_Frame_3_best,ADI_Outer_Region_3_best,RDI_Full_Frame_3_best,RDI_Outer_Region_3_best
1,841.7482386718963,33.503335673741965,34.97842055226146,34.9812478095426
2,812.3585781363756,32.319611756078494,34.95591492995371,34.87771096882385
3,784.7118002707091,31.259678379775718,34.94865090787133,34.831401776172555
4,752.7394502814412,30.055015588001304,34.971401527630924,34.82807046995092
5,722.6772534805463,28.821776483055203,34.927854983208015,34.82067880242169
6,694.7979808433456,27.68676546883486,34.982985318942475,34.81028514795906
7,662.4050168881749,26.355306991702648,35.021217738594906,34.797208138869166
8,635.2734942379132,25.038444005972405,34.98772019613371,34.82604681843217
9,606.1758248284921,23.69898533973701,35.046537389133164,34.997928715929824
10,579.5470343948772,22.204223188371888,35.025174593574924,35.08996331390911
11,550.6088525686741,20.986717531171188,35.044788132989154,35.05385376337532
12,520.5489326198464,19.626441002532566,35.09602256342561,35.09301230087671
13,491.2134890024615,18.40514510749168,35.074063348561744,35.068559564013334
14,461.8003449242998,17.32425527446003,35.07572618280061,35.108020286821265
15,431.8771021723162,16.078051411862187,35.10627315531233,35.10190490339107
16,402.5659598185068,15.008297099945768,35.13216271848454,35.09349843432573
17,376.95551924879226,13.935586761961424,35.04888011100621,35.03169350650309
18,346.28145109320064,12.783449692694942,35.06651734411004,35.06443071966211
19,319.08371113435487,11.698296914881146,34.96421631005646,35.08283706747836
20,290.37498337556195,10.60396586766973,34.977958689684684,35.077443709423804
