,S/N_ADI_Outer_Region_3_best,S/N_RDI_Outer_Region_3_best
1,39.59654616169012,9.352751147854585
2,283.83877455009014,11.424187801122038
3,307.7701041223654,12.21242923128956
4,384.90178616279917,14.663047472743052
5,454.70368329258554,33.04596504615101
6,449.29347839223783,36.13596326272893
7,449.4514749675478,38.863943508455634
8,453.98001967787735,40.168587318348784
9,458.1982814625038,47.90229528965639
10,447.8696993687653,50.49509687351436
11,437.11902695431763,56.96311768598053
12,423.38998080207324,57.93806775107186
13,413.35866010323144,58.5552968431745
14,409.268296535287,59.531948803332526
15,391.10154302150244,59.44706770000024
16,383.1164186327002,62.640817257581524
17,369.4614939221584,63.34093974565316
18,361.83617453566876,65.41587971426998
19,343.41351388401205,69.86302419257127
20,327.23750875397394,70.27649135966257
