	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)	pct_1283_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	0.00283838	0.00502699	0.00645008	0.00218877	0.00103438	0.00054383
sn	0.29021619	0.53791954	0.84984784	0.45845381	0.24583525	0.29505664
flux	96.78481082	171.41328662	219.93863297	74.63389183	35.27095438	18.54374383
	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)	pct_6418_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00110094	0.00176378	0.00029237	-0.00006783	-0.00015661	-0.00042400
sn	0.19572084	0.51714477	0.20127561	0.22940284	0.09624046	-0.88273817
flux	-37.54057163	60.14234760	9.96931905	-2.31299941	-5.34019133	-14.45784102
	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)	pct_6418_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00110359	0.00097824	0.00001809	-0.00060529	-0.00053704	-0.00031620
sn	0.39972531	0.29670399	0.04113955	-0.24416951	-0.38919122	-0.96169201
flux	-37.63079018	33.35674850	0.61693619	-20.63945275	-18.31217688	-10.78181722
	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)	pct_12836_ncorr_50_pos_(22.0, 33.0)
	20	40	60	80	100	150
ctr	-0.00084537	0.00039999	-0.00040212	-0.00022887	-0.00001951	-0.00025580
sn	0.07215944	0.16041013	-0.03270811	0.28264510	0.44475520	-0.34788950
flux	-28.82600980	13.63917465	-13.71175618	-7.80425883	-0.66517853	-8.72227673
	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)	pct_12836_ncorr_100_pos_(22.0, 33.0)
	20	40	60	80	100	150
